# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
  136       5.256987711516e-10       1.498692917630e-13      -5.833744861281e-12       0.000000000000e+00       4.368861509145e-12       7.594890228400e-13      -4.834043348092e-15 
  137       5.303475543414e-10       1.500955308412e-13      -5.878854899882e-12       0.000000000000e+00       4.280072176648e-12       7.476392845215e-13      -4.763460219990e-15 
  138       5.349892304718e-10       1.502553542432e-13      -5.921452838394e-12       0.000000000000e+00       4.193741075899e-12       7.360539878242e-13      -4.693497479825e-15 
  139       5.396224302826e-10       1.503487098659e-13      -5.961477266352e-12       0.000000000000e+00       4.109772042751e-12       7.247287278777e-13      -4.624217830792e-15 
  140       5.442457123602e-10       1.503756251987e-13      -5.998867642653e-12       0.000000000000e+00       4.028054054508e-12       7.136576621174e-13      -4.555682219066e-15 
  141       5.488575615537e-10       1.503362090207e-13      -6.033564332857e-12       0.000000000000e+00       3.948460892458e-12       7.028334750597e-13      -4.487949755085e-15 
  142       5.534563873907e-10       1.502306530994e-13      -6.065508646515e-12       0.000000000000e+00       3.870850804396e-12       6.922473430777e-13      -4.421077634829e-15 
  143       5.580405224936e-10       1.500592338877e-13      -6.094642874473e-12       0.000000000000e+00       3.795066167163e-12       6.818888991768e-13      -4.355121061108e-15 
  144       5.626083572486e-10       1.498223269840e-13      -6.120910883123e-12       0.000000000000e+00       3.720966549791e-12       6.717484537645e-13      -4.290119299306e-15 
  145       5.671587621197e-10       1.495204485326e-13      -6.144259884402e-12       0.000000000000e+00       3.648532289063e-12       6.618239780749e-13      -4.226052461454e-15 
  146       5.716907041523e-10       1.491542211513e-13      -6.164638912036e-12       0.000000000000e+00       3.577770531143e-12       6.521147454611e-13      -4.162880292175e-15 
  147       5.762031136646e-10       1.487243632916e-13      -6.181998320430e-12       0.000000000000e+00       3.508682603638e-12       6.426191151609e-13      -4.100555494642e-15 
  148       5.806948834466e-10       1.482316910103e-13      -6.196289825189e-12       0.000000000000e+00       3.441263870088e-12       6.333345100373e-13      -4.039023572173e-15 
  149       5.851648679596e-10       1.476771197403e-13      -6.207466543627e-12       0.000000000000e+00       3.375503584456e-12       6.242573943198e-13      -3.978222669825e-15 
  150       5.896118825353e-10       1.470616660623e-13      -6.215483035286e-12       0.000000000000e+00       3.311384745615e-12       6.153832513454e-13      -3.918083415993e-15 
  151       5.940347025745e-10       1.463864494756e-13      -6.220295342448e-12       0.000000000000e+00       3.248883951835e-12       6.067065612998e-13      -3.858528764002e-15 
  152       5.984320627465e-10       1.456526941695e-13      -6.221861030653e-12       0.000000000000e+00       3.187971255274e-12       5.982207789580e-13      -3.799473833703e-15 
  153       6.028026561885e-10       1.448617307947e-13      -6.220139229214e-12       0.000000000000e+00       3.128610016463e-12       5.899183114261e-13      -3.740825753068e-15 
  154       6.071451337041e-10       1.440149982340e-13      -6.215090671728e-12       0.000000000000e+00       3.070756758798e-12       5.817904958816e-13      -3.682483499786e-15 
  155       6.114581029628e-10       1.431140453742e-13      -6.206677736595e-12       0.000000000000e+00       3.014361023025e-12       5.738275773151e-13      -3.624337742861e-15 
  156       6.157401276992e-10       1.421605328768e-13      -6.194864487532e-12       0.000000000000e+00       2.959365221729e-12       5.660186862707e-13      -3.566270684201e-15 
  157       6.199897269120e-10       1.411562349495e-13      -6.179616714089e-12       0.000000000000e+00       2.905704493826e-12       5.583518165879e-13      -3.508155900218e-15 
  158       6.242053740628e-10       1.401030411171e-13      -6.160901972161e-12       0.000000000000e+00       2.853306559044e-12       5.508138031417e-13      -3.449858183422e-15 
  159       6.283854962759e-10       1.390029579933e-13      -6.138689624506e-12       0.000000000000e+00       2.802091572417e-12       5.433902995845e-13      -3.391233384017e-15 
  160       6.325284735368e-10       1.378581110512e-13      -6.112950881260e-12       0.000000000000e+00       2.751971978773e-12       5.360657560866e-13      -3.332128251495e-15 
  161       6.366327492580e-10       1.366706978600e-13      -6.083658695798e-12       0.000000000000e+00       2.702870462745e-12       5.288268554125e-13      -3.272418442822e-15 
  162       6.406971746448e-10       1.354428394261e-13      -6.050787356919e-12       0.000000000000e+00       2.654775888147e-12       5.216732093516e-13      -3.212126656763e-15 
  163       6.447206933937e-10       1.341767190295e-13      -6.014312937859e-12       0.000000000000e+00       2.607692050402e-12       5.146075700645e-13      -3.151314692385e-15 
  164       6.487022327791e-10       1.328746311122e-13      -5.974213477235e-12       0.000000000000e+00       2.561619964176e-12       5.076324505266e-13      -3.090046239126e-15 
  165       6.526407033643e-10       1.315389828257e-13      -5.930469018892e-12       0.000000000000e+00       2.516557801118e-12       5.007501181802e-13      -3.028386893987e-15 
  166       6.565349987133e-10       1.301722955794e-13      -5.883061651754e-12       0.000000000000e+00       2.472500827609e-12       4.939625885871e-13      -2.966404178729e-15 
