# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=0
# for k=1.04974e-05 to 8.44321 h/Mpc,
# number of wavenumbers equal to 611
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_tot                  8:phi                    9:psi                
       8.561149625986e-03       1.728776730741e-01      -5.351251720750e+02      -5.354183968731e+02       1.763348802293e-01      -3.859389522499e+02      -5.345710142161e+02       3.845243629817e-01       3.845243624295e-01 
       8.689117856997e-03       1.722603033185e-01      -5.492488161575e+02      -5.495574739300e+02       1.757050103122e-01      -3.941857016582e+02      -5.486778470253e+02       3.831322068822e-01       3.831322063784e-01 
       8.817146847037e-03       1.716445887281e-01      -5.635064450705e+02      -5.638311211088e+02       1.750768292108e-01      -4.024339584697e+02      -5.629185315176e+02       3.817437994816e-01       3.817437990207e-01 
       8.945234707752e-03       1.710304918171e-01      -5.778958256766e+02      -5.782371300641e+02       1.744502987558e-01      -4.106807709585e+02      -5.772908527180e+02       3.803590657571e-01       3.803590653344e-01 
       9.073379669769e-03       1.704181132567e-01      -5.924150693607e+02      -5.927736150751e+02       1.738255208907e-01      -4.189234085604e+02      -5.917929211658e+02       3.789781380530e-01       3.789781376643e-01 
       9.201580075204e-03       1.698073506376e-01      -6.070620524610e+02      -6.074384759886e+02       1.732023927777e-01      -4.271589965044e+02      -6.064226301123e+02       3.776009896630e-01       3.776009893045e-01 
       9.329834370756e-03       1.691982851703e-01      -6.218347262472e+02      -6.222296809950e+02       1.725809958592e-01      -4.353847229325e+02      -6.211779421410e+02       3.762276295875e-01       3.762276292562e-01 
       9.458141101344e-03       1.685908969882e-01      -6.367310982237e+02      -6.371452538410e+02       1.719613104816e-01      -4.435978658591e+02      -6.360568756363e+02       3.748580898149e-01       3.748580895077e-01 
       9.586498904222e-03       1.679852330850e-01      -6.517491783362e+02      -6.521832201634e+02       1.713433839009e-01      -4.517957683080e+02      -6.510574512399e+02       3.734923914812e-01       3.734923911956e-01 
       9.714906503559e-03       1.673812174677e-01      -6.668869908827e+02      -6.673416215351e+02       1.707271401236e-01      -4.599758874838e+02      -6.661777057156e+02       3.721305538955e-01       3.721305536293e-01 
