# Rescaled matter transfer functions [-T_i(k)/k^2] for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=100
# for k=1.04342e-05 to 1055.3 h/Mpc,
# number of wavenumbers equal to 632
# T_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# The rescaling factor [-1/k^2] with k in 1/Mpc is here to match the CMBFAST/CAMB output convention
#
#
#    1:k (h/Mpc)              2:-T_cdm/k2              3:-T_b/k2                4:-T_g/k2                5:-T_ur/k2               6:-T_ncdm/k2             7:-T_tot/k2          
       3.163728178981e-02       1.110326561530e+05       7.771513778802e+04       8.162756573216e+02       7.637952344532e+02       2.142476997055e+03       1.024398673148e+05 
       3.178479464878e-02       1.105972522223e+05       7.721260076585e+04       8.013591042181e+02       7.673469092550e+02       2.119698850461e+03       1.020071698935e+05 
       3.193274940404e-02       1.101628148607e+05       7.671323071538e+04       7.892918982788e+02       7.696030926815e+02       2.098207286568e+03       1.015757973209e+05 
       3.208115751065e-02       1.097290664373e+05       7.621601855578e+04       7.801760116293e+02       7.703745495531e+02       2.077891006632e+03       1.011453664113e+05 
       3.223003078281e-02       1.092962709684e+05       7.572222694325e+04       7.740672681442e+02       7.695095412621e+02       2.058642860494e+03       1.007162873773e+05 
       3.237938140787e-02       1.088645721388e+05       7.523233252293e+04       7.709824969835e+02       7.668872353192e+02       2.040362449322e+03       1.002887499379e+05 
       3.252922196116e-02       1.084335903164e+05       7.474488466507e+04       7.708930120695e+02       7.624110393696e+02       2.022906736350e+03       9.986221758693e+04 
       3.267956542152e-02       1.080035999556e+05       7.426125208811e+04       7.737224500111e+02       7.560316271572e+02       2.006141486743e+03       9.943712391460e+04 
       3.283042518751e-02       1.075745027293e+05       7.378078857117e+04       7.793555591617e+02       7.477302906448e+02       1.989920079175e+03       9.901328545102e+04 
       3.298181509462e-02       1.071460913981e+05       7.330307016247e+04       7.876382853341e+02       7.375181971136e+02       1.973991993521e+03       9.859046365825e+04 
       3.313374943320e-02       1.067185561797e+05       7.282861095612e+04       7.983724143804e+02       7.254540903487e+02       1.958264209581e+03       9.816888972715e+04 
       3.328624296740e-02       1.062918495087e+05       7.235765060332e+04       8.113267992209e+02       7.116267428077e+02       1.942599453898e+03       9.774855815992e+04 
       3.343931095508e-02       1.058658950620e+05       7.188973953610e+04       8.262306751793e+02       6.961594489067e+02       1.926934243425e+03       9.732933292797e+04 
       3.359296916877e-02       1.054406440177e+05       7.142489207746e+04       8.427855229477e+02       6.792050027105e+02       1.911402404449e+03       9.691117343433e+04 
       3.374723391772e-02       1.050161436224e+05       7.096314458766e+04       8.606649262429e+02       6.609496831455e+02       1.895750534841e+03       9.649411816169e+04 
       3.390212207118e-02       1.045924455361e+05       7.050507894647e+04       8.795225333470e+02       6.416057436465e+02       1.879867239074e+03       9.607829471490e+04 
       3.405765108294e-02       1.041693118662e+05       7.004961169921e+04       8.989870260479e+02       6.214015181598e+02       1.863054126289e+03       9.566333239498e+04 
